Timestamp,Component,Component_proba,Status,Status_proba,dB,TopFreq1,TopFreq2,TopFreq3,TopFreq4,TopFreq5,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13
2025-07-30T14:57:18,elevator,1.00,Anomaly,,106.4,356.9,303.2,1121.2,827.6,720.3,-42.19,63.07,3.59,6.11,0.18,1.09,-1.33,10.38,-1.05,-3.40,6.32,-4.04,-1.60
2025-07-30T14:57:19,elevator,1.00,Anomaly,,107.4,613.3,551.6,719.9,1118.3,796.4,-11.08,43.22,8.71,2.55,-1.00,-1.31,-2.14,10.10,-0.78,-1.16,6.50,-5.07,-1.04
2025-07-30T14:57:20,elevator,0.99,Anomaly,,104.9,745.4,5665.7,356.9,5571.4,1077.3,-73.91,84.80,2.37,7.51,0.64,3.47,1.30,12.26,1.32,-6.04,4.47,-6.25,-4.98
2025-07-30T14:57:21,elevator,0.99,Anomaly,,105.4,353.0,719.5,427.8,479.5,1144.9,-67.67,83.09,-0.20,10.43,-0.45,1.27,3.26,11.26,2.01,-5.80,3.49,-4.77,-6.74
2025-07-30T14:57:22,elevator,1.00,Anomaly,,107.5,818.8,706.5,353.2,759.9,1167.9,-10.44,46.85,5.17,6.02,-1.26,-4.22,0.62,8.11,-0.56,-0.79,4.47,-2.30,-5.48
2025-07-30T14:57:23,elevator,0.95,Anomaly,,106.1,610.8,732.1,681.3,353.5,2867.2,-55.89,77.09,1.28,7.66,0.54,-1.78,1.48,8.43,-0.73,-3.26,4.71,-2.87,-5.34
2025-07-30T14:57:24,elevator,0.99,Anomaly,,104.1,823.7,995.5,353.5,1127.6,734.9,-80.35,89.77,-0.16,5.17,0.79,4.43,1.13,11.79,0.67,-5.17,4.33,-5.40,-5.00
2025-07-30T14:57:25,elevator,1.00,Anomaly,,107.1,613.0,1090.0,344.5,899.2,732.6,-21.44,50.50,5.28,2.95,-1.82,0.27,-2.41,10.64,-1.34,-2.02,6.02,-4.40,-0.49
2025-07-30T14:57:26,elevator,1.00,Anomaly,,106.9,595.2,3448.7,352.8,3383.2,5794.5,-29.79,54.84,6.45,4.41,-1.27,-1.14,-0.89,10.97,-1.11,-3.85,5.31,-6.02,-1.91
2025-07-30T14:57:27,elevator,0.98,Anomaly,,103.7,352.6,815.0,727.2,1131.8,878.4,-83.78,90.69,0.62,7.86,-0.95,4.40,2.49,12.94,2.04,-7.28,2.97,-7.33,-7.03
2025-07-30T14:57:28,elevator,1.00,Anomaly,,106.6,358.1,300.8,474.4,603.9,676.7,-45.99,71.04,1.20,8.78,-1.34,-1.81,2.47,10.47,1.44,-2.78,4.41,-3.85,-5.69
2025-07-30T14:57:29,elevator,0.97,Anomaly,,107.5,597.5,697.8,749.0,354.6,958.2,-13.40,51.43,5.20,3.09,0.34,-5.73,2.21,8.31,-0.70,0.10,5.25,-1.19,-3.31
2025-07-30T14:57:30,elevator,0.99,Anomaly,,105.0,585.4,732.0,1170.8,2757.0,958.6,-73.45,88.95,-1.73,6.08,1.50,1.64,2.66,9.64,0.57,-4.57,3.83,-4.79,-5.90
2025-07-30T14:57:31,elevator,1.00,Anomaly,,105.4,353.7,676.2,734.7,268.1,974.5,-65.32,80.57,0.32,7.35,0.79,3.55,0.37,10.54,-1.30,-4.46,4.62,-6.47,-4.59
2025-07-30T14:57:32,elevator,1.00,Anomaly,,107.4,352.9,636.1,848.3,5670.0,941.9,-8.71,40.13,8.70,3.63,0.09,-0.08,-2.91,9.65,-3.49,-1.84,6.97,-5.21,-0.61
2025-07-30T14:57:33,elevator,1.00,Anomaly,,106.0,594.5,358.4,731.6,977.2,881.2,-51.87,68.31,4.81,6.96,0.46,0.44,-0.93,11.42,0.45,-3.73,6.12,-6.69,-3.45
2025-07-30T14:57:34,elevator,0.99,Anomaly,,103.8,906.5,1163.9,313.9,1095.5,815.8,-81.78,90.39,-0.95,8.66,-0.13,2.98,1.91,12.24,3.33,-5.37,3.62,-6.62,-7.38
2025-07-30T14:57:35,elevator,1.00,Anomaly,,107.2,936.3,1100.2,718.2,355.8,1174.1,-26.59,58.53,1.61,7.72,-2.07,-3.58,1.07,8.58,0.44,-2.10,4.23,-2.56,-4.59
2025-07-30T14:57:36,elevator,1.00,Anomaly,,107.2,733.0,621.5,3407.9,568.2,1135.7,-28.45,62.97,2.51,3.44,-1.13,-4.46,1.14,7.84,-0.13,-1.83,3.93,-2.14,-3.81
2025-07-30T14:57:37,elevator,0.99,Anomaly,,104.1,352.8,1128.4,617.0,691.7,976.9,-81.55,95.13,-0.76,3.54,0.58,3.12,1.37,11.58,1.21,-6.31,2.91,-6.23,-6.78
2025-07-30T14:57:38,elevator,1.00,Anomaly,,106.4,357.2,748.4,677.9,979.5,815.4,-45.91,68.15,3.79,6.80,-0.51,-0.02,-1.07,10.70,-1.11,-3.29,5.86,-5.48,-3.15
2025-07-30T14:57:39,elevator,1.00,Anomaly,,107.5,611.8,352.3,780.7,553.9,719.7,-8.94,41.04,9.21,3.86,-1.12,-1.54,-1.70,10.90,-0.69,-0.26,7.48,-5.32,-0.85
2025-07-30T14:57:40,elevator,1.00,Anomaly,,105.1,353.3,608.2,2800.0,5674.3,746.1,-70.52,81.62,2.21,7.36,-0.21,2.58,0.92,13.40,2.91,-4.49,4.72,-7.05,-4.69
2025-07-30T14:57:41,elevator,0.99,Anomaly,,105.0,356.0,750.9,1132.6,302.2,700.3,-71.10,85.74,-1.86,9.03,-0.31,1.24,2.03,11.33,2.81,-5.41,3.14,-5.04,-6.93
2025-07-30T14:57:42,elevator,1.00,Anomaly,,107.5,353.2,691.9,747.4,919.6,1228.2,-11.10,49.03,3.61,5.64,-2.01,-4.39,0.98,8.09,-0.50,-0.56,4.43,-1.68,-4.57
2025-07-30T14:57:43,elevator,0.99,Anomaly,,106.3,594.5,732.0,646.8,2866.7,1065.9,-51.15,75.12,1.22,7.22,0.70,-1.65,2.66,9.00,-0.06,-2.67,4.28,-3.48,-5.37
