File,Timestamp,Component,Prob,Status,dB,OCSVMScore,TopFreq1,TopFreq2,TopFreq3
environment_20250730_150813_454.wav,2025-07-30T15:08:13,environment,1.0,Normal,80.9,0.1,710.4,474.6,1153.0
environment_20250730_150814_478.wav,2025-07-30T15:08:14,environment,1.0,Normal,80.8,0.1,721.4,497.5,864.2
environment_20250730_150815_488.wav,2025-07-30T15:08:15,environment,1.0,Normal,80.7,0.1,710.6,470.5,820.9
environment_20250730_150816_482.wav,2025-07-30T15:08:16,environment,1.0,Normal,80.5,0.1,702.4,418.3,530.9
environment_20250730_150817_490.wav,2025-07-30T15:08:17,environment,1.0,Normal,80.9,0.1,709.7,438.9,570.8
environment_20250730_150818_478.wav,2025-07-30T15:08:18,environment,0.9,Normal,81.1,0.1,710.0,425.1,604.1
environment_20250730_150819_473.wav,2025-07-30T15:08:19,environment,1.0,Normal,81.0,0.1,719.2,601.0,478.8
environment_20250730_150820_477.wav,2025-07-30T15:08:20,environment,1.0,Normal,80.8,0.0,710.4,414.9,1152.6
environment_20250730_150821_471.wav,2025-07-30T15:08:21,environment,1.0,Normal,80.9,0.0,479.2,638.0,1069.3
environment_20250730_150822_481.wav,2025-07-30T15:08:22,environment,0.9,Normal,80.8,0.1,470.6,604.4,718.0
environment_20250730_150823_470.wav,2025-07-30T15:08:23,environment,0.9,Normal,80.5,0.1,603.4,471.7,712.6
environment_20250730_150824_464.wav,2025-07-30T15:08:24,environment,1.0,Normal,80.7,0.1,709.2,598.5,408.3
environment_20250730_150825_474.wav,2025-07-30T15:08:25,environment,1.0,Normal,80.8,0.0,609.5,406.2,714.3
environment_20250730_150826_466.wav,2025-07-30T15:08:26,environment,1.0,Normal,80.7,0.1,457.6,719.5,158.6
environment_20250730_150827_474.wav,2025-07-30T15:08:27,environment,1.0,Normal,81.1,0.1,431.3,718.7,618.6
environment_20250730_150828_466.wav,2025-07-30T15:08:28,environment,1.0,Normal,81.0,0.1,470.9,708.6,575.6
environment_20250730_150829_487.wav,2025-07-30T15:08:29,environment,1.0,Normal,80.7,0.1,624.2,401.7,1144.9
